Date/Time,Battery Remaining,Battery Current,Battery Voltage,Battery Temp,Battery Status,Battery Manufacturing Date,Battery Serial Number,Battery Part Number,Battery Rated Capacity (mAh),Battery Decommission Status,Battery Base Cumulative Charge (mAh),Battery Error Status,Battery Present Capacity (mAh),Battery Health Percentage (%),Battery Percent Decommission Threshold (%),Battery Present Charge (mAh),Battery Total Cumulative Charge (mAh),Battery Secs Since First Use (secs),Battery Time Remaining (mins),Battery Time to Full (mins),Battery Cycles,Ti Temp,Ti SOC,Ti Volt,Ti Current,Qti Temp,Qti SOC,Qti Volt,Qti Current,Charger Type,Screen State,Screen Brightness,Boot Count,Boot Reason,Event Type,Event Details
2023-09-12 10:41:55:389,7,2299226,3697,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,402,5850,582617,65535,313,0,24,7,3508,2315,230,7,3697970,2299226,,1,255,4,shutdown:battery,Resource Module start,
2023-09-12 10:41:56:503,7,2304109,3700,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,402,5850,582617,65535,313,0,24,7,3508,2315,230,7,3700694,2304109,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:41:57:641,7,2292206,3699,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,405,5850,582622,65535,276,0,24,7,3514,2316,230,7,3699721,2292206,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:41:58:756,7,2300752,3702,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,405,5850,582622,65535,276,0,24,7,3514,2316,230,7,3701278,2295869,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:41:59:853,7,2299531,3703,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,405,5850,582622,65535,276,0,24,7,3514,2316,230,7,3703030,2298615,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:42:00:944,7,2286713,3701,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,405,5850,582622,65535,276,0,24,7,3514,2316,230,7,3701473,2286713,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:42:02:058,7,2300141,3706,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,405,5850,582622,65535,276,0,24,7,3514,2316,230,7,3706922,2300141,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:42:03:177,7,2293122,3705,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,408,5850,582627,65535,260,0,24,7,3518,2313,230,7,3705755,2293122,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:42:04:288,7,2298920,3707,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,408,5850,582627,65535,260,0,24,7,3518,2313,230,7,3707701,2298310,,1,255,4,shutdown:battery,Heartbeat,
2023-09-12 10:42:05:395,7,2301362,3709,230,CHARGING,5/24/2023,T6084,BT-000370-50 R.A,6600,0,5559,0,6296,100,80,408,5850,582627,65535,260,0,24,7,3518,2313,230,7,3709258,2301362,,1,255,4,shutdown:battery,Heartbeat,
